id,domain,item,intelligence,empathy,quickly,transparently,difficult,good_outcomes,harm,unfair_outcomes
129,Finance,Whether to offer loans to small businesses,7,7,4,7,5,6,2,7
130,Transport,Which vehicles get priority at traffic lights and intersections,7,1,5,5,2,5,5,1
130,Military,Whether to use lethal or non-lethal force in military operations,7,4,4,7,7,1,7,4
130,Education,Which grades to give students,6,4,1,7,2,6,1,6
131,Healthcare,Who gets an organ transplant,6,7,7,5,7,7,7,7
131,Business,Whether to extend an employee’s contract,6,6,2,6,6,7,6,7
131,Finance,Whether to invest in particular stocks,7,1,7,2,6,7,7,4
132,Business,Who to invite to a job interview,7,1,3,7,3,5,1,4
132,Disaster relief,Who to evacuate during natural disasters,5,4,7,7,7,7,7,7
132,Education,Which students require additional academic support,7,5,3,7,3,5,4,4
133,Healthcare,Who gets an organ transplant,5,7,6,5,7,6,6,6
133,Social media,Which social media accounts to ban for harmful behavior,6,2,5,4,3,5,5,5
133,Finance,Whether to invest in particular stocks,4,5,3,5,5,6,5,6
134,Business,The salary to offer prospective employees,7,7,4,5,1,7,1,1
134,Business,Whether to extend an employee’s contract,7,7,4,7,1,7,1,1
134,Finance,Whether to offer loans to small businesses,7,7,4,7,1,7,1,1
135,Healthcare,Which personalised treatments to recommend to patients,7,7,7,5,7,7,5,5
135,Military,Whether to authorise drone strikes,6,4,7,1,6,4,7,7
135,Disaster relief,Where to deploy rescue teams after natural disasters,7,7,7,7,7,7,1,3
136,Business,Who to invite to a job interview,6,2,5,7,6,6,6,6
136,Government,Which environmental policies to implement,6,4,4,6,5,5,4,5
136,Education,Which students to admit to schools and universities,6,3,5,7,5,7,6,6
137,Business,Who to invite to a job interview,3,2,3,5,3,6,2,3
137,Military,Whether to use lethal or non-lethal force in military operations,6,7,5,5,6,4,7,6
137,Disaster relief,Who gets priority access to shelters after natural disasters,4,6,5,6,6,6,7,5
138,Justice,Which neighborhoods should have more police patrols,7,7,4,7,3,5,3,3
138,Business,Who to invite to a job interview,6,4,4,7,4,5,3,4
138,Military,Which areas to target in military operations,7,4,3,7,6,4,7,6
139,Business,Who to hire for a job,7,5,1,4,1,7,7,5
139,Social media,Which social media accounts to ban for harmful behavior,7,5,5,7,1,5,6,5
139,Education,Which career paths to recommend to students,5,2,1,4,2,5,4,3
140,Military,Whether to authorise drone strikes,7,7,4,7,7,5,7,7
140,Government,Which environmental policies to implement,7,7,1,7,7,7,3,6
140,Education,Which career paths to recommend to students,4,1,1,7,6,6,2,NA
141,Military,Whether to launch cyber counterattacks,7,6,5,5,6,3,6,5
141,Disaster relief,Who should receive medical treatment after natural disasters,6,7,6,6,7,6,5,5
141,Disaster relief,Who to evacuate during natural disasters,6,7,6,6,7,7,5,5
142,Justice,Who police should stop and search,7,7,7,7,1,7,4,5
142,Military,Which areas to target in military operations,7,7,7,7,2,7,4,5
142,Finance,Whether to offer loans to small businesses,7,7,7,7,1,7,1,6
143,Justice,Which neighborhoods should have more police patrols,6,5,6,7,4,7,6,6
143,Government,Who qualifies for government welfare programs,4,4,7,7,4,7,4,5
143,Government,Which refugees should be given asylum,5,5,6,7,6,7,5,5
144,Transport,Whether to override a human driver's commands for safety reasons,6,3,7,7,6,6,7,5
144,Military,Where to fire missiles in military operations,7,2,6,7,7,4,7,6
144,Disaster relief,Who gets priority access to shelters after natural disasters,6,7,6,7,6,7,6,6
145,Healthcare,Whether to perform a surgery,7,5,4,6,6,7,7,4
145,Healthcare,When to withdraw life support,6,7,2,6,7,3,6,4
145,Military,Whether to authorise drone strikes,6,3,5,3,4,2,7,6
146,Transport,Whether to override a human driver's commands for safety reasons,2,1,7,4,1,7,4,4
146,Justice,Whether to release convicted criminals from jail,6,5,4,6,5,5,5,5
146,Healthcare,Who should receive mental health support,6,6,4,6,6,6,3,4
147,Disaster relief,Where to allocate resources after natural disasters,7,5,7,5,5,7,7,5
147,Disaster relief,Who gets priority access to shelters after natural disasters,7,5,6,5,5,7,7,6
147,Social media,Which online videos to remove as deep fakes,3,5,5,5,3,6,6,3
148,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,1,1,7,6,6,7,6,6
148,Social media,How to moderate online discussions on controversial topics,1,1,5,6,1,5,1,4
148,Finance,Whether to offer loans to individuals,4,1,1,5,4,4,1,5
149,Military,How to allocate medical resources on the battlefield,6,7,7,7,6,6,4,4
149,Finance,Whether to invest in particular stocks,6,2,5,6,6,5,5,5
149,Education,Which career paths to recommend to students,7,7,2,5,6,6,5,3
150,Justice,Who police should stop and search,7,1,7,7,5,4,3,3
150,Military,How to allocate medical resources on the battlefield,7,5,7,7,7,5,7,7
150,Finance,Whether to offer loans to individuals,7,1,7,7,5,7,2,2
151,Transport,Whether to override a human driver's commands for safety reasons,7,7,7,7,6,6,5,4
151,Social media,Which social media accounts to ban for harmful behavior,7,7,7,7,6,7,5,3
151,Education,Which grades to give students,7,5,3,7,6,6,5,7
152,Healthcare,Who to allocate ventilators to,7,6,7,4,6,7,7,7
152,Social media,How to moderate online discussions on controversial topics,4,5,4,7,5,6,5,3
152,Education,Which grades to give students,6,7,4,7,1,6,2,7
153,Military,Whether to use lethal or non-lethal force in military operations,6,5,5,4,7,5,7,7
153,Disaster relief,Where to deploy rescue teams after natural disasters,6,5,7,4,4,7,7,6
153,Education,Which career paths to recommend to students,5,5,4,4,4,6,6,6
154,Transport,Whether to override a human driver's commands for safety reasons,7,4,7,5,2,6,6,4
154,Government,Which refugees should be given asylum,7,6,4,4,5,6,3,5
154,Education,Which students to admit to schools and universities,6,6,3,6,5,6,2,5
155,Transport,Which vehicles get priority at traffic lights and intersections,6,2,7,6,4,6,7,5
155,Transport,How to allocate ridesharing vehicles to customers,5,1,5,6,5,5,3,4
155,Government,Who gets audited for tax fraud,5,4,5,6,5,6,5,6
156,Transport,Which pedestrian to hit in a car accident,4,6,6,5,5,6,4,4
156,Healthcare,When to withdraw life support,6,6,6,6,6,6,6,6
156,Education,Which students should receive scholarships,6,6,3,7,5,6,4,4
157,Transport,Whether to override a human driver's commands for safety reasons,7,5,7,6,7,7,7,7
157,Military,Whether to launch cyber counterattacks,7,1,7,6,4,7,5,5
157,Finance,Which premiums to set in insurance policies,5,2,3,7,5,4,5,5
158,Justice,Who police should stop and search,5,6,7,7,5,6,6,6
158,Healthcare,Whether to perform a surgery,7,5,6,6,6,7,4,5
158,Government,How to allocate public healthcare funding,5,6,5,7,6,7,5,6
159,Transport,Whether to override a human driver's commands for safety reasons,7,1,7,4,7,5,7,7
159,Finance,Whether to offer loans to individuals,5,5,2,5,5,6,4,6
159,Education,Which students require additional academic support,6,5,4,7,6,7,3,6
160,Healthcare,Which personalised treatments to recommend to patients,7,1,5,5,3,7,5,2
160,Disaster relief,Who to evacuate during natural disasters,6,1,7,7,5,7,5,5
160,Government,Who qualifies for government welfare programs,6,1,6,7,1,5,2,1
161,Business,The salary to offer prospective employees,5,6,3,5,6,7,5,6
161,Military,Whether to launch cyber counterattacks,7,4,7,5,7,5,7,4
161,Finance,Whether to offer loans to small businesses,6,4,5,6,6,6,6,5
162,Justice,Which personalized rehabilitation programs to offer to offenders,5,4,4,6,5,6,5,5
162,Business,Who to hire for a job,6,4,5,6,5,6,4,6
162,Education,Which grades to give students,7,3,4,6,4,4,6,6
163,Transport,Which pedestrian to hit in a car accident,2,1,7,6,6,1,7,7
163,Disaster relief,Where to allocate resources after natural disasters,4,6,7,7,7,5,4,3
163,Finance,Who qualifies for mortgage approval,5,4,5,6,3,5,3,5
164,Social media,Which online videos to remove as deep fakes,6,2,6,6,5,5,1,2
164,Social media,How to moderate online discussions on controversial topics,5,5,5,6,5,5,4,4
164,Education,Which students to admit to schools and universities,5,5,4,5,5,6,3,3
165,Justice,Who police should stop and search,5,3,5,7,5,5,4,6
165,Business,The salary to offer prospective employees,4,5,3,7,3,6,2,7
165,Finance,Which premiums to set in insurance policies,6,2,2,7,5,4,3,4
166,Transport,Whether to override a human driver's commands for safety reasons,7,5,7,7,7,7,3,3
166,Healthcare,Who to allocate ventilators to,7,7,7,7,7,6,5,7
166,Social media,Which online videos to remove as deep fakes,7,7,7,6,3,7,1,1
167,Disaster relief,Who gets priority access to shelters after natural disasters,5,6,6,5,4,5,4,6
167,Social media,Which online videos to remove as deep fakes,4,5,3,4,2,4,3,3
167,Finance,Whether to offer loans to individuals,5,5,3,6,4,6,4,4
168,Military,Whether to launch cyber counterattacks,7,6,6,6,7,3,7,6
168,Social media,Which news articles to present to users on social media,5,3,3,5,3,3,4,3
168,Education,Which students to admit to schools and universities,7,5,3,6,4,6,5,6
169,Transport,Which vehicles get priority at traffic lights and intersections,5,2,6,5,3,5,6,5
169,Business,Who gets promoted within a company,5,4,4,7,6,6,4,6
169,Disaster relief,Where to allocate resources after natural disasters,6,7,7,6,7,5,6,5
170,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,7,7,7,7,7,4,4,4
170,Transport,Which areas should have more traffic enforcement,7,7,5,7,5,7,4,4
170,Military,Whether to authorise drone strikes,7,7,4,4,7,4,7,5
171,Military,Whether to launch cyber counterattacks,6,1,6,7,7,6,7,7
171,Government,Which environmental policies to implement,6,1,5,7,6,7,7,7
171,Education,Which grades to give students,2,1,4,7,2,7,7,7
172,Transport,Which vehicles get priority at traffic lights and intersections,7,7,5,6,6,6,1,2
172,Justice,Who police should stop and search,7,7,4,7,6,7,1,2
172,Business,The salary to offer prospective employees,7,7,5,7,6,7,1,2
173,Justice,Whether to grant parole to prisoners,6,7,4,7,4,NA,4,5
173,Business,Who to invite to a job interview,5,6,3,3,4,5,3,5
173,Disaster relief,Who gets priority access to shelters after natural disasters,7,7,7,5,6,7,6,6
174,Business,Who to invite to a job interview,7,7,1,7,7,NA,2,7
174,Military,Whether to launch cyber counterattacks,7,7,1,7,7,1,7,7
174,Government,Who to target with political messaging,7,7,1,7,1,4,4,4
175,Military,Whether to launch cyber counterattacks,6,6,4,6,6,4,7,6
175,Military,How to allocate medical resources on the battlefield,6,6,6,6,5,7,7,7
175,Finance,Whether to invest in particular stocks,5,3,3,6,4,6,3,4
176,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,1,6,6,7,4,4,4,4
176,Business,Who to invite to a job interview,5,2,6,7,5,4,1,3
176,Education,Which students require additional academic support,5,6,5,7,5,6,1,4
177,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,7,7,7,4,6,5,5,6
177,Transport,Which areas should have more traffic enforcement,6,3,3,5,5,6,3,2
177,Finance,Which customers receive credit card limit increases,5,3,2,5,3,5,3,4
178,Justice,The length of jail sentences for criminals,5,6,4,7,7,5,7,7
178,Social media,Which online content to remove as misinformation,4,3,3,7,5,5,6,5
178,Finance,Whether to invest in particular stocks,7,3,4,7,6,7,6,4
179,Social media,Which news articles to present to users on social media,7,7,7,7,5,7,3,3
179,Finance,Who qualifies for mortgage approval,5,6,5,5,5,6,6,5
179,Education,Which students to admit to schools and universities,7,7,6,6,5,5,5,5
180,Justice,Who police should stop and search,7,7,7,7,7,7,7,7
180,Business,Whether to extend an employee’s contract,7,7,5,7,7,7,4,7
180,Disaster relief,Where to deploy rescue teams after natural disasters,7,7,7,7,7,7,7,7
181,Healthcare,Who gets an organ transplant,7,7,6,6,6,7,6,6
181,Disaster relief,Where to allocate resources after natural disasters,6,7,6,4,6,5,4,5
181,Government,Who to target with political messaging,4,4,5,5,5,4,5,5
182,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,7,7,7,7,6,5,7,4
182,Disaster relief,Where to deploy rescue teams after natural disasters,7,7,6,6,7,7,6,6
182,Social media,Which social media accounts to ban for harmful behavior,6,7,5,7,3,7,3,5
183,Transport,Which vehicles get priority at traffic lights and intersections,6,2,6,6,1,6,2,3
183,Social media,Whether social media users are mental health risks,5,5,5,5,2,6,6,6
183,Social media,Which social media accounts to ban for harmful behavior,5,2,6,6,1,7,2,2
184,Social media,Whether social media users are mental health risks,7,6,4,6,6,5,5,5
184,Government,Who qualifies for government welfare programs,5,4,6,6,5,6,5,6
184,Education,Which students to admit to schools and universities,6,6,6,6,6,6,5,6
185,Justice,Whether to grant parole to prisoners,7,1,1,7,7,5,5,1
185,Military,Where to fire missiles in military operations,7,4,6,7,7,6,6,6
185,Military,Whether to authorise drone strikes,7,5,6,7,6,6,6,7
186,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,5,6,4,5,4,5,3,4
186,Transport,Which areas should have more traffic enforcement,6,5,2,6,5,6,3,2
186,Government,How to allocate public healthcare funding,6,6,3,6,4,6,1,3
187,Justice,Which neighborhoods should have more police patrols,7,7,5,7,5,7,6,6
187,Healthcare,Who to allocate ventilators to,7,7,5,7,7,7,7,6
187,Finance,Whether to invest in particular stocks,6,2,3,7,5,7,6,3
188,Healthcare,Whether to perform a surgery,6,6,5,6,6,6,6,5
188,Disaster relief,How to allocate volunteers after natural disasters,6,6,5,6,6,7,5,4
188,Education,Which students should receive disciplinary action,5,6,4,7,4,5,4,4
189,Transport,How to allocate ridesharing vehicles to customers,4,4,3,3,4,5,2,5
189,Transport,Whether to override a human driver's commands for safety reasons,6,4,7,5,7,7,2,5
189,Business,Who to hire for a job,5,4,3,6,6,7,4,6
190,Transport,Whether to override a human driver's commands for safety reasons,7,3,7,7,7,6,7,7
190,Finance,Whether to offer loans to small businesses,6,5,4,7,6,6,5,7
190,Education,Which students require additional academic support,7,7,4,7,6,7,6,7
191,Justice,Which personalized rehabilitation programs to offer to offenders,6,6,3,3,5,5,4,4
191,Justice,Which neighborhoods should have more police patrols,6,4,6,4,4,6,4,4
191,Social media,How to moderate online discussions on controversial topics,6,6,4,7,5,3,6,6
192,Government,Who qualifies for government welfare programs,7,7,5,6,6,7,7,7
192,Government,Who gets audited for tax fraud,6,3,4,6,5,5,6,7
192,Finance,Which premiums to set in insurance policies,5,6,5,5,4,4,5,7
193,Transport,Which pedestrian to hit in a car accident,7,7,5,7,7,1,7,7
193,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,7,7,6,7,7,4,7,6
193,Military,Whether to authorise drone strikes,7,7,4,7,7,5,7,7
194,Healthcare,Which personalised treatments to recommend to patients,7,6,6,6,6,6,2,5
194,Social media,Which news articles to present to users on social media,5,6,6,6,3,6,4,4
194,Education,Which students should receive disciplinary action,6,7,3,7,6,3,5,5
195,Disaster relief,Where to deploy rescue teams after natural disasters,7,6,7,6,7,7,7,6
195,Social media,Which online content to remove as misinformation,6,5,5,6,6,5,6,6
195,Social media,Which social media accounts to ban for harmful behavior,7,6,5,7,7,6,7,7
196,Business,Who to invite to a job interview,5,4,3,6,4,6,6,6
196,Disaster relief,Who gets priority access to shelters after natural disasters,6,7,6,5,7,6,5,6
196,Education,Which students should receive scholarships,6,5,4,6,NA,5,5,6
197,Healthcare,Who gets an organ transplant,6,6,6,6,6,6,2,2
197,Government,Which refugees should be given asylum,6,7,5,6,6,4,6,6
197,Finance,Which premiums to set in insurance policies,6,4,6,6,6,5,2,5
198,Transport,Which pedestrian to hit in a car accident,7,7,7,6,7,2,7,7
198,Military,Whether to authorise drone strikes,7,7,7,5,7,2,7,7
198,Disaster relief,Where to allocate resources after natural disasters,7,7,5,4,6,7,5,6
199,Business,Who gets promoted within a company,7,4,3,7,6,5,4,6
199,Military,Which areas to target in military operations,7,5,4,7,7,4,7,7
199,Military,How to allocate medical resources on the battlefield,7,6,7,7,7,7,7,7
200,Transport,Which areas should have more traffic enforcement,7,5,6,7,6,6,5,7
200,Military,Where to fire missiles in military operations,7,7,7,7,7,2,7,7
200,Disaster relief,Who to evacuate during natural disasters,7,7,7,7,7,6,7,7
